0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
74,1,44,51,15,11,3,2,19,0,8,8,44,2,1,0,136,0,49,6,0,5,900,341,5,0,27,41,0,29,55,86,-1243,1614,-16337,-3434,842,-6
81,0,40,47,3,82,2,4,15,0,7,5,35,18,0,0,162,0,4,4,3,257,1037,340,5,0,33,65,1,25,76,252,-1129,1637,-15931,-1597,151,66
75,1,50,50,27,63,3,4,11,0,6,4,86,7,0,0,164,0,6,10,2,419,1198,379,4,1,18,17,0,88,47,275,-1040,1622,-16105,-698,-251,185
72,0,55,52,35,63,1,1,11,0,5,5,83,4,0,0,174,0,6,2,1,562,1230,344,6,0,32,48,2,231,209,408,-1085,1586,-16098,-285,-495,167
72,0,55,55,37,93,2,0,9,0,4,3,85,6,0,0,145,0,10,6,1,590,1274,521,8,2,33,51,2,272,456,572,-1155,1528,-16000,-113,-448,142
61,0,52,48,35,78,1,1,7,0,3,2,100,10,1,0,159,0,8,6,3,594,1293,741,8,0,34,52,3,404,672,620,-1082,1466,-16040,-90,-487,81
79,55,62,58,44,149,2,1,15,0,4,2,121,6,0,0,133,1,6,5,2,576,1284,837,8,0,32,33,2,528,786,854,-1249,1470,-16091,-105,-506,74
68,72,68,54,51,173,3,0,8,0,5,2,145,6,0,0,171,0,7,4,2,595,1212,870,9,3,43,58,7,584,918,903,-1257,1494,-16080,-173,-496,102
73,91,63,52,50,214,3,0,9,0,12,2,120,5,0,0,169,0,6,4,2,546,1139,952,11,0,43,58,4,666,1071,893,-1209,1546,-16068,-211,-337,155
75,113,67,58,37,217,3,1,21,1,5,2,85,6,0,0,137,0,5,3,1,481,1039,899,14,0,42,35,9,792,1132,875,-1246,1488,-16086,-247,-278,148
85,107,56,61,40,188,1,0,11,3,4,3,88,5,0,0,149,0,10,2,0,453,919,865,18,1,44,27,3,820,1166,813,-1261,1509,-16022,-288,-232,132
125,100,58,54,49,184,1,1,9,0,7,1,85,3,0,0,184,0,4,9,1,401,777,759,16,4,63,50,10,863,1221,693,-1256,1526,-16007,-307,-228,130
101,11,37,49,42,173,21,1,13,0,6,11,81,4,0,0,193,0,5,4,1,348,693,653,19,1,46,41,4,928,1245,628,-1271,1471,-16002,-241,-249,156
139,0,41,19,37,158,1,1,11,0,6,2,83,6,0,0,167,1,3,0,1,243,612,593,19,0,51,21,7,973,1258,592,-1280,1509,-16002,-139,-259,199
159,32,4,10,34,130,1,0,7,10,1,0,72,10,0,0,160,1,0,0,1,166,517,454,21,43,0,18,7,1067,1277,597,-1296,1528,-16045,-84,-311,229
171,46,1,0,19,86,2,0,8,13,0,1,73,10,0,0,158,1,0,3,1,127,447,341,31,102,0,21,12,1125,1288,482,-1262,1461,-16031,-67,-362,228
160,39,0,5,22,29,0,0,10,17,0,0,72,3,0,1,151,0,0,0,0,28,379,196,91,254,1,33,16,1219,1304,460,-1358,1631,-15995,-55,-329,235
158,23,0,2,24,5,1,0,8,5,0,0,77,3,0,0,141,0,0,0,1,1,258,133,56,358,0,17,24,1263,1354,456,-1351,1508,-16036,-37,-337,249
147,9,2,12,6,1,0,0,5,4,0,23,72,2,0,0,101,0,0,0,0,1,180,77,90,389,1,69,18,1287,1370,448,-1348,1486,-16047,-39,-404,221
188,24,0,235,28,4,26,1,8,2,1,13,70,0,0,0,97,0,0,0,0,2,131,244,53,437,1,55,13,1319,1330,397,-1355,1547,-16075,-89,-424,221
178,26,1,400,1,5,110,11,14,3,0,20,9,0,5,0,55,0,0,0,0,2,32,209,75,474,2,73,0,1322,1212,369,-1270,1505,-16111,-176,-350,252
204,23,1,520,10,4,183,9,17,4,1,23,26,0,5,0,16,0,0,0,0,2,16,165,36,582,79,114,0,1319,999,250,-1451,1505,-16077,-274,-306,278
64,43,29,689,1,6,278,124,6,1,0,9,0,0,0,1,1,0,0,0,0,3,18,162,23,730,194,165,0,1215,593,215,-1403,1575,-16052,-334,-139,384
1,69,225,917,0,9,408,166,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,198,0,916,330,218,0,1065,240,131,-1401,1507,-15959,-445,-22,450
0,181,433,1085,0,10,497,421,0,13,20,17,0,0,59,4,0,0,0,0,0,18,42,126,0,1045,332,280,0,944,106,62,-1458,1562,-16144,-697,35,495
1,284,634,1259,1,23,638,508,0,9,18,21,0,2,200,2,0,0,0,0,0,31,22,172,0,1268,367,312,0,771,73,65,-1464,1600,-16296,-1103,39,581
216,300,834,1418,0,160,646,587,3,8,17,10,0,2,455,6,0,0,0,1,0,10,16,122,0,1355,355,280,0,291,119,132,-1469,1567,-16202,-1558,-74,642
560,334,1058,1588,1,286,623,711,6,6,31,24,0,8,733,10,1,0,0,0,0,0,32,148,1,1457,303,172,0,4,164,92,-1350,1757,-16382,-2332,-352,543
609,477,1202,1736,0,468,558,758,8,5,36,19,0,124,877,13,0,0,0,0,0,16,21,119,0,1507,206,54,1,32,116,92,-1620,1731,-16882,-3843,-691,713
595,625,1325,1824,0,455,526,784,15,6,42,26,0,565,1045,22,0,0,0,0,0,10,41,114,0,1393,36,11,0,10,18,34,-1451,2142,-17154,-5813,-566,949
765,755,1356,1823,30,379,254,712,18,10,48,33,26,979,1255,24,1,1,0,0,0,9,62,106,0,1110,27,11,0,9,34,17,-1978,2530,-17425,-7975,440,1085
1002,924,1356,1712,33,264,72,262,26,7,55,25,22,1380,1435,28,0,1,3,0,0,8,39,123,0,519,56,11,0,13,40,30,-1633,2658,-19198,-10812,1596,1301
1021,1057,1232,1463,1,42,70,6,28,4,58,29,2,1684,1451,15,0,0,9,0,0,8,26,128,0,1,129,8,0,13,37,23,-1303,3021,-19413,-13239,2119,1373
1033,850,885,1024,1,46,80,5,27,5,63,46,1,1699,1193,12,0,0,6,3,0,13,14,122,0,0,201,6,0,20,38,25,-1424,3542,-21376,-16286,2551,1383
904,456,167,245,34,280,76,11,26,10,32,31,44,1455,758,7,27,0,10,0,0,16,0,152,26,27,230,15,2,21,8,21,-2274,4512,-23244,-20478,3401,1821
257,234,58,2,39,484,36,4,15,14,27,1,44,867,206,2,30,0,13,1,0,8,0,129,9,25,116,0,1,25,6,27,-3523,5074,-24578,-25881,5076,2969
0,185,76,14,1,578,19,5,0,15,21,2,0,310,1,0,29,3,19,2,0,1,0,116,3,0,37,15,0,3,2,26,-4801,7195,-27692,-31360,7226,4962
262,235,83,53,1,619,109,7,2,0,0,0,0,6,0,0,3,1,13,8,0,20,1,198,0,0,60,23,0,15,1,19,-5670,9015,-31524,-32753,6907,6960
292,160,41,62,19,589,131,4,2,0,0,0,0,0,0,0,29,1,177,6,0,20,0,134,0,1,97,34,0,21,2,23,-7760,12348,-32750,-32764,2178,9240
235,5,36,61,0,471,109,4,3,0,0,1,0,0,0,0,47,0,312,6,0,0,1,136,37,0,114,43,0,9,1,41,-13166,17397,-15666,-32740,-2997,11507
137,0,21,13,20,9,0,0,12,0,7,10,72,1,0,0,41,0,318,14,0,0,0,82,30,0,76,33,5,4,0,56,-4632,556,-32053,-32641,-10646,20186
152,0,22,17,17,1,0,1,12,0,10,11,71,0,0,0,49,0,326,9,0,0,0,90,23,1,39,79,11,0,0,31,-1279,-20210,-27671,-32641,-10646,20186
155,0,24,21,18,0,0,1,13,0,15,12,62,0,0,0,47,0,346,13,0,0,0,90,16,0,29,58,3,0,0,33,3448,-11794,-15534,6753,-2098,15294
151,0,24,21,14,2,0,2,12,0,8,10,56,0,0,0,52,0,356,8,3,0,0,79,23,1,39,67,2,0,0,43,-2514,-6284,-8343,9891,7099,7206
175,0,35,33,24,0,4,3,9,0,7,9,60,1,0,0,41,0,360,9,0,0,0,82,15,1,23,20,1,0,0,31,-9283,-8034,-7133,9795,3951,1567
162,0,33,42,36,0,11,5,10,0,6,13,62,0,0,0,43,0,365,11,0,0,0,80,15,0,44,18,4,0,0,29,-3427,-8065,-10275,12639,-3515,-2748
191,21,31,42,25,0,0,3,13,0,5,10,68,0,0,0,37,0,373,10,0,0,0,83,18,1,21,17,0,0,0,27,-1833,-8186,-12751,16241,-2951,-7500
202,21,35,39,24,2,0,3,11,0,7,10,54,0,0,0,42,0,365,10,1,0,1,82,9,1,30,22,1,0,0,34,-4606,-6946,-14399,20958,-2175,-10724
202,54,35,41,18,4,0,3,13,0,7,11,48,0,0,0,6,1,381,11,0,0,0,104,12,0,31,30,1,0,0,33,-3029,-4094,-15841,25433,-3640,-11334
211,99,36,43,23,8,0,4,11,0,6,9,49,0,0,0,8,0,370,10,0,0,0,125,9,2,37,23,0,0,0,37,-2849,-2012,-17622,28580,-3186,-9882
191,105,39,59,21,4,0,3,10,2,6,9,42,0,0,0,15,0,378,10,0,0,0,128,0,3,35,21,0,0,0,36,-5422,-586,-20033,31178,-3557,-7316
202,109,35,45,16,3,1,4,11,1,12,9,33,1,0,0,6,0,378,10,1,0,0,125,0,3,48,34,1,0,0,35,-5731,1527,-22921,32528,-5457,-4897
197,136,32,46,16,0,2,3,11,3,5,10,43,0,0,0,4,0,385,9,0,0,0,123,1,9,40,63,1,0,0,39,-6589,4019,-26124,32764,-6466,-3244
211,149,31,45,15,0,3,2,10,2,11,9,33,0,0,0,6,0,380,11,1,0,0,113,0,8,39,65,2,0,0,27,-8477,7071,-30286,32764,-8337,-2806
208,148,31,47,23,0,0,3,10,2,11,9,36,0,0,0,7,0,387,14,0,0,0,117,0,9,36,23,2,0,0,27,-8981,12416,-32750,32764,-11377,-4875
208,151,35,44,20,0,1,6,10,2,6,17,36,0,0,0,11,1,387,12,1,0,0,130,0,10,41,23,2,0,0,26,-5008,21142,-32750,32764,-15249,-8114
160,156,35,45,19,0,0,3,10,2,6,10,34,0,0,0,2,0,396,11,3,3,0,130,0,9,38,47,1,3,1,26,3105,32162,-32750,32260,-16852,-9500
166,166,39,46,23,2,0,3,8,1,5,12,43,0,0,0,9,0,403,11,0,2,0,128,0,5,37,51,1,3,0,25,8194,32750,-29407,27820,-14857,-9184
162,167,40,44,22,2,0,2,7,5,6,16,50,0,0,0,16,0,386,10,0,3,0,122,0,7,37,60,3,2,0,23,9689,32750,-20920,20961,-12001,-8119
169,160,39,44,24,0,0,3,8,4,9,7,48,0,0,0,13,0,389,14,0,0,0,107,0,7,42,71,2,0,0,27,14974,32750,-12782,12492,-10923,-7065
194,166,32,38,22,2,0,2,8,1,5,13,45,0,0,0,5,0,388,10,0,1,0,108,0,13,48,79,3,3,0,22,20352,32750,-9016,2892,-8312,-6606
194,153,35,40,21,0,0,3,10,1,6,15,50,0,0,0,5,0,367,7,0,0,0,100,6,15,63,36,2,5,0,31,7765,6802,1266,-16425,-196,-5389
194,156,29,45,13,0,0,1,9,2,5,9,28,1,1,0,9,0,249,11,0,0,0,164,0,15,39,21,1,1,1,17,-1268,-17470,-20285,-16348,-295,-2479
154,128,34,39,11,1,18,1,8,1,7,9,29,0,3,1,2,21,10,7,0,0,0,133,13,14,54,39,4,1,3,33,-154,-873,-5608,-11715,12132,3408
123,116,41,41,22,0,18,3,7,1,7,10,48,0,9,0,4,93,6,6,0,0,0,169,0,17,54,39,1,3,4,38,-3595,1012,-24562,-13826,13988,2857
152,87,39,39,22,0,18,3,9,0,6,9,63,0,3,0,11,83,241,7,2,0,86,155,24,9,100,45,2,0,57,53,3508,-606,-22058,-17953,5946,195
177,83,53,40,12,10,12,0,8,0,7,8,37,0,0,0,94,33,177,7,1,21,995,274,36,8,61,70,1,111,155,47,-3295,3846,-31167,-19533,3904,1696
177,86,44,47,15,18,22,7,9,0,6,5,35,1,0,0,158,44,89,6,0,286,1263,402,35,11,42,20,3,219,63,257,-1100,1442,-18023,-11378,4913,253
159,154,43,58,42,8,13,0,6,1,6,6,89,1,0,0,168,45,7,6,2,560,1261,827,11,15,48,28,6,345,434,366,-785,1524,-17461,-6866,3584,-321
181,113,50,54,31,69,9,2,7,1,4,4,96,8,0,0,152,28,9,7,2,599,1276,999,7,6,47,29,4,477,711,526,-1565,1518,-16341,-3621,1619,-99
187,85,53,52,33,159,8,0,9,7,6,4,127,17,0,0,449,35,10,7,7,652,1350,1027,19,6,53,27,3,507,789,871,-1132,1497,-16005,-1279,354,105
159,90,52,48,34,110,22,0,8,2,5,3,79,11,0,0,635,40,12,11,3,747,1309,1153,16,5,52,27,2,573,925,926,-1316,1411,-16300,-324,-171,217
