334,197,60,619,1209,1558,1441,2101,1628,1578,1860,1061,661,676,803,958,21,82,305,19,20,74,77,29,1719,1863,1380,2044,1799,1410,1407,533,-3833,4677,-21435,-99,-14120,-4636
195,166,49,358,1052,1483,1195,2020,1677,1583,1931,1101,788,690,900,1047,20,30,277,19,20,58,37,20,1791,1962,1375,2224,1845,1500,1603,556,-3866,4970,-17518,-3214,-23634,-5876
99,117,41,102,878,1323,1010,1964,1730,1565,1976,1149,896,778,955,1129,20,20,225,19,20,37,22,19,1856,2047,1362,2399,1894,1640,1730,549,-7020,6620,-19861,676,-29616,-7568
29,79,34,52,723,1159,884,1917,1739,1571,1970,1130,980,812,976,1213,20,20,163,19,20,19,19,19,1898,2077,1428,2445,1901,1697,1796,496,-8284,7040,-20639,4649,-32259,-9681
25,66,31,27,727,953,931,1801,1714,1554,1808,1122,996,900,918,1346,20,20,69,20,20,19,19,19,1890,2067,1711,2428,1845,1762,1755,460,-10665,10860,-27941,7957,-32764,-13879
25,45,29,21,742,962,1038,1207,1604,1331,1489,1090,912,980,847,1749,20,21,20,20,19,20,20,20,1843,2146,1978,2206,1970,1549,1644,614,-17323,9320,-32750,10849,-32764,-19846
29,37,39,24,521,934,1293,533,1184,1169,1169,797,841,1163,305,2030,21,21,20,24,19,21,21,20,1734,1852,2078,1438,2336,971,1411,854,-31744,9876,-32750,5333,-32764,-21895
35,53,33,27,96,794,688,293,628,726,623,264,514,473,42,1734,26,24,23,26,20,26,27,23,1068,1355,1564,1141,2718,770,936,620,-32764,26379,-32750,2289,-32764,-14787
37,72,37,32,28,353,122,276,69,193,39,50,82,93,41,588,31,31,32,31,29,31,40,29,307,559,66,256,507,32,55,51,3492,19964,-32750,-18960,-32764,-15034
33,36,32,32,33,137,34,65,38,45,33,32,135,33,33,35,32,34,31,32,32,34,43,34,35,61,31,31,36,37,37,38,13969,-4726,-18217,-24621,-32764,-25687
33,37,31,32,32,155,35,73,42,40,32,32,166,32,33,33,32,34,31,32,32,33,42,32,59,74,32,32,42,36,38,36,9377,27581,-32750,-10906,-27685,-22529
32,32,32,32,31,54,32,50,45,39,32,32,234,33,33,34,32,34,31,32,31,34,42,33,68,60,31,32,40,37,37,36,24765,13405,-32750,787,-2229,-7464
33,32,32,32,32,33,32,42,48,38,31,32,247,32,32,33,34,34,31,31,31,34,41,33,90,61,30,32,39,37,37,37,12328,8188,-24592,12526,19638,4664
33,33,32,33,32,34,32,62,49,38,33,32,289,33,33,33,33,34,33,33,32,35,38,33,99,70,31,32,41,38,36,36,10935,12265,-17337,16264,30483,8451
34,34,33,33,32,36,32,74,49,35,32,31,277,33,32,32,33,33,31,31,31,35,41,33,127,75,32,31,45,40,39,38,4767,12797,-17279,9526,32712,8132
32,32,33,32,30,33,32,37,47,35,31,31,284,32,32,33,33,33,31,31,31,34,40,32,123,69,31,32,44,37,39,39,99,9840,-15815,193,32764,7197
33,33,31,32,31,122,33,33,48,36,31,32,320,32,33,33,33,34,32,32,31,34,42,33,138,69,31,33,42,36,38,37,-3563,9497,-16791,-5471,32764,7454
34,34,33,33,31,134,34,41,47,36,31,32,297,32,32,33,33,33,32,31,32,34,42,33,133,66,30,31,42,35,38,37,-6286,8753,-19410,-6954,32764,9963
34,33,33,33,32,156,33,34,47,36,33,32,316,33,32,33,33,34,32,32,31,33,38,33,131,75,32,32,43,36,38,37,-9815,8822,-20623,-4683,32764,13543
